stock,volume
HMGN,18500
CHT,2395
CHS,452020
USLV,47390
FXCB,49
CWID,40
CHU,13168
GASL,4900
USMD,1
CHW,2953
CHY,3788
KYE,12068
HE.PR.U,64
PLND,2518
RRTS,428
FORD,4611
CIA,164
ULTXF,5999
FORC,200
ARDNA,627
BAMXF,226
FXCM,5153
CIB,304
USMI,3600
CIE,97522
GASX,1043
SUWN,130702
CIG,193458
KYO,1949
KYN,21037
CIF,200
CII,19717
TJX,180596
CIK,8200
CIM,369857
TPHM,50000
TKOMY,1359
LYRI,166
DSNKY,1412
IXYS,2052
WYNMY,150
CIS,620
CIR,2124
NSRGY,53188
TKC,175069
SMEV,8
GRST,17000
CIU,7585
TKF,5701
CIT,24544
BAMXY,645
SNEJF,9
CIX,438
CRZBY,3623
MKTG,142180
WYNMF,11750
IGXT,8130
USLM,5
HMCBF,65
TKR,34514
BCEI,2474
GARS,9
MKTO,9060
SMFG,31015
MTEX,300
NSRGF,380
EBODF,170
RJET,36389
PLOW,1403
FOSL,20475
RATE,8024
OILT,10
PLPC,1
HMIN,10850
OILZ,18
TLF,474
GRVY,1000
TLI,3541
RYCEF,2200
NXPSQ,3
TLH,528
TLK,4815
SMID,2075
TLM,133573
PLPE,111105
SLPHQ,800
TLL,875
TLO,1216
MCGC,12050
KCDMY,501
TLP,530
TPLM,127392
FXEN,5572
TLR,3
PLPM,2371
TLT,184743
GASZ,15003
USMV,5262
MTGE,11177
CKH,481
MCET,19110
HMHC,4980
JBLU,250656
MCEP,348
FORM,1967
PLNR,5100
ELON,6700
USMO,164
FORR,14
IDCBF,1000
CKP,3707
ATBEF,35000
ELOS,540
TMF,200
MCQPF,1
TMH,7851
LYTS,319
TMK,5867
ANZFF,75
TMP,116
USNA,1146
LQDT,4547
TMO,121451
CLB,602
CLD,2072
CLC,1910
MFA.PR.B,2
IDCBY,1931
TMV,13618
CLF,320632
LZAGY,118
CLH,10922
KBALB,1783
LVNSF,13590
CLI,47133
RAVN,1114
UBOH,300
MCHX,33154
SDYL,292
KERX,55841
CLM,4702
TNA,588509
BKYI,11200
FOUR,5000
TNC,1327
CLR,49750
BKYF,518
KNDI,192221
CLS,1700
CLV,1513
CLX,29234
ZINC,6416
CLW,514
TNH,159
MCIG,709788
TNK,9900
CLY,1119
DRAD,1090
CMA,16412
TNP,6503
CMC,21010
EXL.PR.B,500
DRAM,1400
CME,657100
QGEN,124576
LUKOY,1797
CMD,200
XCHO,2500
BFLBY,1757
CMG,6517
CMF,298
VNDA,13125
CMI,36997
CMK,103
NWLI,6
CMO,32991
CMN,938
LVNTA,8579
CMP,2758
CMS,77617
TOF,100
CMU,16980
CMT,1555
UBNK,17
EDAP,6401
OZON,1000
TOL,67348
TOK,469
USPH,916
VNCE,4381
MCHI,18609
NONOF,82
UBNT,6990
TOO,3311
CNA,1358
TOT,74493
ELRC,430
CNC,6293
MCHP,45519
DIOD,1336
CNI,28551
CNL,3026
ORBC,1240
OZRK,1010
CNK,5210
MTLK,1925
ELTP,42300
CNP,26339
PDCO,28506
CNO,20044
TPC,13909
CNQ,124246
FNB.PR.E,25
BCS.PR,715
